Zone,Production,Importations - Quantité,Exportations - Quantité,Pertes,Nourriture,Disponibilité intérieure,Variation de stock,Aliments pour animaux,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Population_1000,Taux_dependance_alimentaire,Ratio_pertes,Production_par_capita,Ratio_export_import
Liban,3205.0,3226.0,677.0,231.0,4198.0,5831.0,-84.0,771.0,34.66265060240964,7.4156626506024095,1.0783132530120483,0.813855421686747,6819.373,0.5532497764963511,0.03961583954453103,0.4699844883122703,0.2098573435036133
Libéria,1873.0,656.0,28.0,185.0,1781.0,2417.0,83.0,58.0,25.626506024096386,4.562409638554217,0.6671084337349398,0.4808433734939759,4702.226,0.2714107275917552,0.07654113506779682,0.39832190151602637,0.04268286176393024
Lituanie,10597.0,2991.0,6858.0,332.0,3050.0,6591.0,133.0,1417.0,42.7375,13.235925925925928,1.3303749999999999,1.56325,2845.414,0.45380056838103955,0.050371711368273196,3.7242370620805745,2.2928778693153227
Luxembourg,660.0,851.0,728.0,12.0,584.0,766.0,12.0,129.0,41.160493827160494,12.210123456790123,1.68320987654321,1.3060493827160495,591.91,1.1109646070958132,0.01566577589324296,1.1150324964394986,0.855463154567386
Macédoine du Nord,2407.0,817.0,464.0,170.0,1841.0,2829.0,-65.0,523.0,37.924050632911396,11.205443037974684,1.3062025316455697,1.019367088607595,2081.996,0.28879452499309827,0.060091884025491676,1.1561015697909265,0.5679307614066568
Madagascar,14082.0,1568.0,273.0,1038.0,10792.0,15667.0,-286.0,618.0,21.850574712643677,4.74247191011236,0.2696551724137931,0.4935632183908046,25570.512,0.10008297056979827,0.06625390526240472,0.5507124553973556,0.17410703181949502
Malaisie,138863.0,18355.0,20672.0,2239.0,16760.0,132318.0,4241.0,3987.0,33.35632183908046,6.1916091954022985,1.0471264367816093,0.9065517241379311,31104.646,0.13871884294866277,0.016921355999022388,4.464381158223722,1.1262325728012763
Malawi,26100.0,256.0,203.0,2481.0,12042.0,25913.0,239.0,6328.0,30.767441860465116,7.657415730337078,0.5424137931034483,0.7813793103448277,17670.196,0.00987921082548486,0.09574344553917163,1.477063328722368,0.7929656524779201
Maldives,153.0,281.0,91.0,0.0,250.0,330.0,13.0,0.0,26.50588235294118,6.045176470588236,0.5656470588235294,0.9603529411764705,496.402,0.8515125711740268,0.0,0.3082173153667484,0.32384226390653414
Mali,17790.0,1518.0,211.0,1002.0,11464.0,17968.0,1125.0,1146.0,33.59770114942529,7.114827586206896,0.6906896551724139,0.9740229885057471,18512.43,0.08448352156703463,0.05576580277349717,0.960975897762968,0.13899859091001918
Malte,196.0,425.0,56.0,18.0,391.0,541.0,25.0,75.0,41.19047619047619,10.594880952380953,1.4065476190476192,1.3847619047619049,437.933,0.7855808029929705,0.03327165753852581,0.4475560244237716,0.13176439584848038
Maroc,34474.0,9451.0,3666.0,2206.0,24916.0,39215.0,1041.0,4529.0,39.27906976744186,8.142906976744186,0.7872093023255814,1.1398837209302326,35581.255,0.24100471143683003,0.05625398301022612,0.9688809186499769,0.38789541975500796
Maurice,4336.0,944.0,694.0,198.0,687.0,4592.0,-5.0,141.0,37.20238095238095,6.44452380952381,1.1875,1.0525,1264.499,0.20557486812393985,0.043118457509046706,3.429023329379201,0.7351687127450077
Mauritanie,1796.0,1751.0,799.0,96.0,1955.0,2323.0,431.0,132.0,32.666666666666664,5.2508045977011495,0.8343678160919541,0.9174712643678162,4282.57,0.7537663565362218,0.0413258539277426,0.41937424972055337,0.45631041901175384
Mexique,183278.0,44688.0,25255.0,10957.0,92909.0,198633.0,4430.0,27553.0,37.44827586206897,8.460909090909091,1.1451136363636363,1.0602272727272728,124777.324,0.22497772160226287,0.055162032214375094,1.468840592631714,0.5651405172498094
Mongolie,1679.0,423.0,66.0,53.0,1696.0,2099.0,-64.0,229.0,28.202380952380953,6.4990476190476185,1.1341666666666665,0.9803571428571428,3113.786,0.20152443948335422,0.02525010707474651,0.5392147889370724,0.1560279999338063
Monténégro,387.0,506.0,26.0,27.0,674.0,821.0,35.0,73.0,41.903614457831324,13.084939759036146,1.6790361445783135,1.3628915662650603,627.563,0.6163208083790398,0.03288668345105548,0.6166701722852171,0.05138329766146708
Mozambique,19463.0,2878.0,610.0,1527.0,14459.0,22333.0,-600.0,1675.0,27.070588235294117,5.801149425287356,0.47197674418604646,0.5951162790697674,28649.018,0.12886758926845523,0.06837415177655704,0.6793600855931576,0.21195267131595852
Myanmar,70428.0,3910.0,3401.0,3654.0,31247.0,70074.0,861.0,16891.0,31.776470588235295,6.57629213483146,0.9409411764705883,1.098235294117647,53382.523,0.05579815543856272,0.052144874673275755,1.3193081690929414,0.8698207494064579
Namibie,2026.0,900.0,849.0,111.0,1362.0,1671.0,426.0,75.0,27.919540229885058,6.534942528735632,0.7157471264367816,0.7126436781609196,2402.633,0.5385993186120176,0.06642724929548217,0.843241209439307,0.9433322851863498
Nicaragua,12022.0,1106.0,1688.0,699.0,3166.0,11322.0,125.0,252.0,30.546511627906977,5.770813953488371,0.7365116279069768,0.7674418604651163,6384.846,0.09768591258735977,0.06173820334409085,1.8828955494156712,1.5262192348831511
Niger,14423.0,1150.0,311.0,1784.0,10842.0,14859.0,403.0,1143.0,29.941860465116278,5.638988764044944,0.5945977011494252,0.940919540229885,21602.382,0.07739416667378918,0.12006190725742598,0.6676578227503882,0.2704345474482196
Nigéria,200878.0,9818.0,717.0,16724.0,120242.0,209539.0,437.0,42075.0,27.640449438202246,6.846630434782608,0.5496666666666666,0.6211111111111111,190873.244,0.04685523913517179,0.07981330406361917,1.0524157013205282,0.07302912273078807
Norvège,8263.0,5080.0,3513.0,160.0,4951.0,9763.0,88.0,3057.0,39.348837209302324,10.86813953488372,1.7177906976744184,1.2788372093023257,5296.326,0.5203318119090636,0.016388403524694915,1.5601378087115845,0.6915352969418707
Nouvelle-Calédonie,89.0,149.0,5.0,4.0,157.0,238.0,-3.0,22.0,31.60919540229885,6.718275862068966,1.3725287356321838,0.9554022988505748,277.15,0.6260477897151693,0.01680665207289045,0.32112458551475553,0.03355682176629687
Nouvelle-Zélande,28659.0,2477.0,24926.0,496.0,3464.0,5822.0,379.0,1388.0,35.42696629213483,8.282808988764044,1.3056179775280898,1.0202247191011236,4702.034,0.42545509696752026,0.08519407674440455,6.095020560246787,10.062975348011566
Népal,26038.0,3299.0,87.0,2127.0,19069.0,27815.0,1429.0,3771.0,31.822222222222223,7.582417582417582,0.6735555555555556,0.8175555555555556,27632.681,0.11860506494319378,0.0764695280794705,0.9422900028307061,0.02637161977216739
